(0.83, 0.65, 0.57, 0.61, 0.74)
(0.49, 0.31, 0.96, 0.47, 0.65)
(0.85, 0.73, 0.59, 0.65, 0.76)
(0.81, 0.6, 0.61, 0.61, 0.74)
(0.85, 0.72, 0.6, 0.65, 0.76)
(0.86, 0.76, 0.61, 0.68, 0.78)
(0.88, 0.79, 0.66, 0.72, 0.8)
(0.85, 0.71, 0.58, 0.64, 0.75)
(0.85, 0.69, 0.63, 0.66, 0.77)
(0.85, 0.73, 0.6, 0.66, 0.77)
